January,14,Isya,Committed,Alone,Home
January,14,Shubuh,Committed,Alone,Home
January,14,Dzuhur,Committed,Alone,Home
January,15,Maghrib,Committed,Alone,Home
January,15,Isya,Committed,Alone,Home
January,15,Shubuh,Committed,Alone,Home
January,15,Dzuhur,Committed,Alone,Home
January,15,Isya,Committed,Alone,Home
January,16,Ashar,Committed,Alone,Home
January,16,Maghrib,Committed,Alone,Home
January,16,Isya,Committed,Alone,Home
January,16,Shubuh,Committed,Alone,Home
January,16,Dzuhur,Committed,Alone,Home
January,17,Maghrib,Committed,Alone,Home
January,17,Shubuh,Committed,Alone,Home
January,17,Maghrib,Committed,Alone,Home
January,17,Isya,Committed,Alone,Home
January,17,Shubuh,Committed,Alone,Home
January,18,Dzuhur,Committed,Alone,Home
January,18,Isya,Committed,Alone,Home
January,18,Isya,Committed,Alone,Home
January,18,Isya,Committed,Alone,Home
January,18,Ashar,Committed,Alone,Home
January,19,Maghrib,Committed,Alone,Home
January,19,Ashar,Committed,Alone,Home
January,19,Maghrib,Committed,Alone,Home
January,19,Isya,Committed,Jamaah,Home
January,19,Shubuh,Committed,Alone,Home
January,20,Ashar,Committed,Alone,Home
January,20,Maghrib,Committed,Alone,Home
January,20,Isya,Committed,Jamaah,Home
January,20,Dzuhur,Committed,Alone,Home
January,20,Maghrib,Committed,Alone,Home
January,21,Shubuh,Committed,Alone,Home
January,21,Shubuh,Committed,Alone,Home
January,21,Dzuhur,Committed,Alone,Home
January,21,Maghrib,Committed,Alone,Home
January,21,Isya,Committed,Alone,Home
January,22,Shubuh,Abandoned,,
January,22,Ashar,Abandoned,,
January,22,Dzuhur,Abandoned,,
January,22,Ashar,Abandoned,,
January,22,Shubuh,Abandoned,,
January,23,Shubuh,Abandoned,,
January,23,Shubuh,Abandoned,,
January,23,Dzuhur,Abandoned,,
January,23,Dzuhur,Abandoned,,
January,23,Ashar,Abandoned,,
January,24,Shubuh,Abandoned,,
January,24,Dzuhur,Abandoned,,
January,24,Shubuh,Abandoned,,
January,24,Dzuhur,Abandoned,,
January,24,Ashar,Abandoned,,
January,25,Maghrib,Abandoned,,
January,25,Shubuh,Abandoned,,
January,25,Shubuh,Abandoned,,
January,25,Maghrib,Abandoned,,
January,25,Shubuh,Abandoned,,
January,26,Shubuh,Abandoned,,
January,26,Dzuhur,Abandoned,,
January,26,Ashar,Abandoned,,
January,26,Maghrib,Abandoned,,
January,26,Isya,Abandoned,,
January,27,Maghrib,Abandoned,,
January,27,Isya,Abandoned,,
January,27,Shubuh,Abandoned,,
January,27,Ashar,Abandoned,,
January,27,Isya,Abandoned,,
January,28,Maghrib,Abandoned,,
January,28,Shubuh,Abandoned,,
January,28,Maghrib,Abandoned,,
January,28,Shubuh,Abandoned,,
January,28,Dzuhur,Abandoned,,
January,29,Shubuh,Abandoned,,
January,29,Shubuh,Abandoned,,
January,29,Shubuh,Abandoned,,
January,29,Shubuh,Abandoned,,
January,29,Dzuhur,Abandoned,,
January,30,Ashar,Abandoned,,
January,30,Maghrib,Abandoned,,
January,30,Isya,Abandoned,,
January,30,Dzuhur,Abandoned,,
January,30,Maghrib,Committed,,
January,31,Shubuh,Abandoned,,
January,31,Maghrib,Abandoned,,
January,31,Shubuh,Abandoned,,
January,31,Ashar,Abandoned,,
January,31,Maghrib,Abandoned,,
 Month,Date,Shalat,Commitment,Person,Place
February,1,Shubuh,Abandoned,,
February,1,Dzuhur,Committed,Jamaah,Mosque
February,1,Ashar,Committed,Jamaah,Mosque
February,1,Maghrib,Committed,Alone,Home
February,1,Isya,Committed,Jamaah,Mosque
February,2,Shubuh,Abandoned,,
February,2,Dzuhur,Committed,Alone,Mosque
February,2,Ashar,Committed,Jamaah,Mosque
February,2,Maghrib,Committed,Jamaah,Mosque
February,2,Isya,Committed,Jamaah,Mosque
February,3,Shubuh,Abandoned,,
February,3,Dzuhur,Committed,Jamaah,Mosque
February,3,Ashar,Committed,Jamaah,Mosque
February,3,Maghrib,Abandoned,,
February,3,Isya,Committed,Jamaah,Mosque
February,4,Shubuh,Abandoned,,
February,4,Dzuhur,Committed,Alone,Home
February,4,Ashar,Committed,Jamaah,Mosque
February,4,Maghrib,Committed,Alone,Home
February,4,Isya,Committed,Jamaah,Mosque
February,5,Shubuh,Abandoned,,
February,5,Dzuhur,Abandoned,,
February,5,Ashar,Committed,Alone,Home
February,5,Maghrib,Committed,Jamaah,Mosque
February,5,Isya,Committed,Jamaah,Mosque
February,6,Shubuh,Abandoned,,
February,6,Dzuhur,Committed,Alone,Home
February,6,Ashar,Committed,Jamaah,Mosque
February,6,Maghrib,Committed,Alone,Home
February,6,Isya,Committed,Jamaah,Mosque
February,7,Shubuh,Abandoned,,
February,7,Dzuhur,Committed,Jamaah,Mosque
February,7,Ashar,Committed,Jamaah,Mosque
February,7,Maghrib,Committed,Alone,Home
February,7,Isya,Committed,Jamaah,Mosque
February,8,Shubuh,Abandoned,,
February,8,Dzuhur,Abandoned,,
February,8,Ashar,Committed,Jamaah,Mosque
February,8,Maghrib,Abandoned,,
February,8,Isya,Committed,Jamaah,Mosque
February,9,Shubuh,Committed,Alone,Home
February,9,Dzuhur,Committed,Jamaah,Mosque
February,9,Ashar,Committed,Jamaah,Mosque
February,9,Maghrib,Committed,Jamaah,Mosque
February,9,Isya,Committed,Jamaah,Mosque
February,10,Shubuh,Committed,Jamaah,Mosque
February,10,Dzuhur,Committed,Alone,Home
February,10,Ashar,Committed,Jamaah,Mosque
February,10,Maghrib,Committed,Alone,Home
February,10,Isya,Committed,Jamaah,Mosque
February,11,Shubuh,Abandoned,,
February,11,Dzuhur,Committed,Alone,Mosque
February,11,Ashar,Committed,Alone,Home
February,11,Maghrib,Committed,Jamaah,Mosque
February,11,Isya,Committed,Jamaah,Mosque
February,12,Shubuh,Abandoned,,
February,12,Dzuhur,Committed,Jamaah,Mosque
February,12,Ashar,Committed,Jamaah,Mosque
February,12,Maghrib,Committed,Alone,Home
February,12,Isya,Committed,Jamaah,Mosque
February,13,Shubuh,Abandoned,,
February,13,Dzuhur,Committed,Jamaah,Mosque
February,13,Ashar,Committed,Jamaah,Mosque
February,13,Maghrib,Abandoned,,
February,13,Isya,Committed,Jamaah,Mosque
February,14,Shubuh,Abandoned,,
February,14,Dzuhur,Committed,Jamaah,Mosque
February,14,Ashar,Committed,Alone,Mosque
February,14,Maghrib,Abandoned,,
February,14,Isya,Committed,Jamaah,Mosque
February,15,Shubuh,Abandoned,,
February,15,Dzuhur,Abandoned,,
February,15,Ashar,Committed,Jamaah,Mosque
February,15,Maghrib,Committed,Jamaah,Mosque
February,15,Isya,Committed,Jamaah,Mosque
February,16,Shubuh,Abandoned,,
February,16,Dzuhur,Abandoned,,
February,16,Ashar,Abandoned,,
February,16,Maghrib,Committed,Alone,Home
February,16,Isya,Committed,Alone,Home
February,17,Shubuh,Abandoned,,
February,17,Dzuhur,Committed,Jamaah,Mosque
February,17,Ashar,Committed,Jamaah,Mosque
February,17,Maghrib,Abandoned,,
February,17,Isya,Committed,Jamaah,Mosque
February,18,Shubuh,Abandoned,,
February,18,Dzuhur,Committed,Jamaah,Mosque
February,18,Ashar,Committed,Jamaah,Mosque
February,18,Maghrib,Committed,Alone,Home
February,18,Isya,Committed,Jamaah,Mosque
February,19,Shubuh,Committed,Alone,Home
February,19,Dzuhur,Abandoned,,
February,19,Ashar,Abandoned,,
February,19,Maghrib,Committed,Alone,Home
February,19,Isya,Committed,Alone,Home
February,20,Shubuh,Committed,Alone,Home
February,20,Dzuhur,Committed,Jamaah,Mosque
February,20,Ashar,Committed,Jamaah,Mosque
February,20,Maghrib,Committed,Alone,Home
February,20,Isya,Committed,Alone,Home
February,21,Shubuh,Committed,Alone,Home
February,21,Dzuhur,Committed,Jamaah,Mosque
February,21,Ashar,Committed,Alone,Home
February,21,Maghrib,Committed,Alone,Home
February,21,Isya,Committed,Alone,Home
February,22,Shubuh,Abandoned,,
February,22,Dzuhur,Abandoned,,
February,22,Ashar,Committed,Jamaah,Mosque
February,22,Maghrib,Committed,Alone,Home
February,22,Isya,Committed,Jamaah,Mosque
February,23,Shubuh,Committed,Alone,Home
February,23,Dzuhur,Abandoned,,
February,23,Ashar,Committed,Jamaah,Mosque
February,23,Maghrib,Abandoned,,
February,23,Isya,Committed,Alone,Home
February,24,Shubuh,Abandoned,,
February,24,Dzuhur,Committed,Jamaah,Mosque
February,24,Ashar,Committed,Alone,Home
February,24,Maghrib,Committed,Alone,Home
February,24,Isya,Committed,Alone,Home
February,25,Shubuh,Committed,Alone,Home
February,25,Dzuhur,Committed,Alone,Mosque
February,25,Ashar,Committed,Alone,Home
February,25,Maghrib,Committed,Alone,Home
February,25,Isya,Committed,Alone,Home
February,26,Shubuh,Abandoned,,
February,26,Dzuhur,Committed,Jamaah,Mosque
February,26,Ashar,Committed,Jamaah,Mosque
February,26,Maghrib,Committed,Alone,Home
February,26,Isya,Committed,Alone,Home
February,27,Shubuh,Committed,Alone,Home
February,27,Dzuhur,Committed,Alone,Home
February,27,Ashar,Committed,Alone,Home
February,27,Maghrib,Committed,Alone,Home
February,27,Isya,Committed,Alone,Home
February,28,Shubuh,Abandoned,,
February,28,Dzuhur,Committed,Jamaah,Mosque
February,28,Ashar,Committed,Jamaah,Mosque
February,28,Maghrib,Committed,Alone,Home
February,28,Isya,Committed,Alone,Home
February,,,,,
February,,,,,
February,,,,,
February,,,,,
February,,,,,
February,,,,,
February,,,,,
February,,,,,
February,,,,,
February,,,,,
February,,,,,
February,,,,,
February,,,,,
February,,,,,
February,,,,,
Month,Date,Shalat,Commitment,Person,Place
March,1,Shubuh,Committed,Alone,Home
March,1,Dzuhur,Committed,Jamaah,Mosque
March,1,Ashar,Committed,Alone,Home
March,1,Maghrib,Committed,Alone,Home
March,1,Isya,Committed,Jamaah,Mosque
March,2,Shubuh,Committed,Alone,Home
March,2,Dzuhur,Committed,Alone,Home
March,2,Ashar,Committed,Alone,Home
March,2,Maghrib,Committed,Jamaah,Mosque
March,2,Isya,Committed,Alone,Home
March,3,Shubuh,Committed,Alone,Home
March,3,Dzuhur,Committed,Alone,Home
March,3,Ashar,Committed,Jamaah,Mosque
March,3,Maghrib,Committed,Alone,Home
March,3,Isya,Committed,Jamaah,Mosque
March,4,Shubuh,Committed,Alone,Home
March,4,Dzuhur,Committed,Jamaah,Mosque
March,4,Ashar,Committed,Alone,Home
March,4,Maghrib,Committed,Alone,Home
March,4,Isya,Committed,Alone,Home
March,5,Shubuh,Committed,Alone,Home
March,5,Dzuhur,Committed,Jamaah,Mosque
March,5,Ashar,Committed,Alone,Home
March,5,Maghrib,Committed,Alone,Home
March,5,Isya,Committed,Jamaah,Mosque
March,6,Shubuh,Committed,Alone,Home
March,6,Dzuhur,Committed,Alone,Home
March,6,Ashar,Committed,Alone,Home
March,6,Maghrib,Committed,Alone,Home
March,6,Isya,Committed,Jamaah,Mosque
March,7,Shubuh,Committed,Alone,Home
March,7,Dzuhur,Committed,Jamaah,Mosque
March,7,Ashar,Committed,Jamaah,Mosque
March,7,Maghrib,Committed,Alone,Home
March,7,Isya,Abandoned,,
March,8,Shubuh,Committed,Alone,Home
March,8,Dzuhur,Committed,Alone,Home
March,8,Ashar,Committed,Jamaah,Mosque
March,8,Maghrib,Committed,Alone,Home
March,8,Isya,Committed,Alone,Home
March,9,Shubuh,Committed,Alone,Home
March,9,Dzuhur,Committed,Jamaah,Mosque
March,9,Ashar,Committed,Alone,Home
March,9,Maghrib,Abandoned,,
March,9,Isya,Committed,Jamaah,Mosque
March,10,Shubuh,Committed,Alone,Home
March,10,Dzuhur,Abandoned,,
March,10,Ashar,Abandoned,,
March,10,Maghrib,Abandoned,,
March,10,Isya,Committed,Jamaah,Mosque
March,11,Shubuh,Committed,Alone,Home
March,11,Dzuhur,Committed,Jamaah,Mosque
March,11,Ashar,Committed,Jamaah,Mosque
March,11,Maghrib,Committed,Jamaah,Mosque
March,11,Isya,Abandoned,,
March,12,Shubuh,Abandoned,,
March,12,Dzuhur,Committed,Alone,Home
March,12,Ashar,Committed,Jamaah,Mosque
March,12,Maghrib,Committed,Alone,Home
March,12,Isya,Committed,Jamaah,Mosque
March,13,Shubuh,Committed,Alone,Home
March,13,Dzuhur,Abandoned,,
March,13,Ashar,Committed,Jamaah,Mosque
March,13,Maghrib,Committed,Alone,Home
March,13,Isya,Committed,Jamaah,Mosque
March,14,Shubuh,Committed,Alone,Home
March,14,Dzuhur,Committed,Jamaah,Mosque
March,14,Ashar,Committed,Jamaah,Mosque
March,14,Maghrib,Committed,Alone,Home
March,14,Isya,Committed,Jamaah,Mosque
March,15,Shubuh,Committed,Alone,Home
March,15,Dzuhur,Abandoned,,
March,15,Ashar,Committed,Alone,Home
March,15,Maghrib,Committed,Alone,Home
March,15,Isya,Committed,Alone,Home
March,16,Shubuh,Committed,Alone,Home
March,16,Dzuhur,Abandoned,,
March,16,Ashar,Committed,Jamaah,Mosque
March,16,Maghrib,Abandoned,,
March,16,Isya,Committed,Jamaah,Mosque
March,17,Shubuh,Committed,Alone,Home
March,17,Dzuhur,Committed,Jamaah,Mosque
March,17,Ashar,Abandoned,,
March,17,Maghrib,Abandoned,,
March,17,Isya,Committed,Jamaah,Mosque
March,18,Shubuh,Committed,Alone,Home
March,18,Dzuhur,Committed,Alone,Home
March,18,Ashar,Committed,Alone,Mosque
March,18,Maghrib,Committed,Alone,Home
March,18,Isya,Committed,Jamaah,Mosque
March,19,Shubuh,Committed,Alone,Home
March,19,Dzuhur,Abandoned,,
March,19,Ashar,Abandoned,,
March,19,Maghrib,Committed,Alone,Home
March,19,Isya,Committed,Jamaah,Mosque
March,20,Shubuh,Committed,Jamaah,Mosque
March,20,Dzuhur,Committed,Alone,Home
March,20,Ashar,Committed,Jamaah,Mosque
March,20,Maghrib,Committed,Alone,Home
March,20,Isya,Committed,Jamaah,Mosque
March,21,Shubuh,Committed,Alone,Home
March,21,Dzuhur,Committed,Jamaah,Mosque
March,21,Ashar,Committed,Alone,Mosque
March,21,Maghrib,Abandoned,,
March,21,Isya,Committed,Jamaah,Mosque
March,22,Shubuh,Committed,Alone,Home
March,22,Dzuhur,Abandoned,,
March,22,Ashar,Committed,Jamaah,Mosque
March,22,Maghrib,Abandoned,,
March,22,Isya,Committed,Jamaah,Mosque
March,23,Shubuh,Committed,Alone,Home
March,23,Dzuhur,Abandoned,,
March,23,Ashar,Committed,Jamaah,Mosque
March,23,Maghrib,Committed,Alone,Home
March,23,Isya,Committed,Jamaah,Mosque
March,24,Shubuh,Committed,Alone,Home
March,24,Dzuhur,Abandoned,,
March,24,Ashar,Committed,Alone,Home
March,24,Maghrib,Abandoned,,
March,24,Isya,Committed,Jamaah,Mosque
March,25,Shubuh,Committed,Alone,Home
March,25,Dzuhur,Abandoned,,
March,25,Ashar,Committed,Jamaah,Mosque
March,25,Maghrib,Abandoned,,
March,25,Isya,Committed,Alone,Mosque
March,26,Shubuh,Committed,Alone,Home
March,26,Dzuhur,Committed,Alone,Home
March,26,Ashar,Committed,Alone,Home
March,26,Maghrib,Committed,Alone,Home
March,26,Isya,Committed,Alone,Mosque
March,27,Shubuh,Committed,Alone,Home
March,27,Dzuhur,Committed,Jamaah,Mosque
March,27,Ashar,Committed,Jamaah,Mosque
March,27,Maghrib,Abandoned,,
March,27,Isya,Committed,Alone,Mosque
March,28,Shubuh,Committed,Alone,Home
March,28,Dzuhur,Committed,Jamaah,Mosque
March,28,Ashar,Committed,Jamaah,Mosque
March,28,Maghrib,Committed,Alone,Home
March,28,Isya,Committed,Jamaah,Mosque
March,29,Shubuh,Committed,Alone,Home
March,29,Dzuhur,Abandoned,,
March,29,Ashar,Committed,Jamaah,Mosque
March,29,Maghrib,Abandoned,,
March,29,Isya,Committed,Jamaah,Mosque
March,30,Shubuh,Committed,Alone,Home
March,30,Dzuhur,Abandoned,,
March,30,Ashar,Committed,Alone,Mosque
March,30,Maghrib,Committed,Alone,Home
March,30,Isya,Committed,Jamaah,Mosque
March,31,Shubuh,Committed,Alone,Home
March,31,Dzuhur,Abandoned,,
March,31,Ashar,Committed,Alone,Mosque
March,31,Maghrib,Committed,Jamaah,Mosque
March,31,Isya,Committed,Jamaah,Mosque
Month,Date,Shalat,Commitment,Person,Place,Weather
April,1,Shubuh,Committed,Alone,Home,Rain
April,1,Dzuhur,Committed,Alone,Home,
April,1,Ashar,Committed,Alone,Home,
April,1,Maghrib,Abandoned,,,
April,1,Isya,Committed,Alone,Home,
April,2,Shubuh,Committed,Jamaah,Mosque,Rain
April,2,Dzuhur,Abandoned,,,
April,2,Ashar,Committed,Alone,Home,
April,2,Maghrib,Abandoned,,,
April,2,Isya,Committed,Jamaah,Mosque,
April,3,Shubuh,Committed,Jamaah,Mosque,
April,3,Dzuhur,Committed,Alone,Home,
April,3,Ashar,Committed,Jamaah,Mosque,
April,3,Maghrib,Committed,Alone,Home,
April,3,Isya,Abandoned,,,
April,4,Shubuh,Committed,Alone,Home,
April,4,Dzuhur,Committed,Jamaah,Mosque,
April,4,Ashar,Committed,Jamaah,Mosque,
April,4,Maghrib,Abandoned,,,
April,4,Isya,Committed,Alone,Mosque,
April,5,Shubuh,Abandoned,,,
April,5,Dzuhur,Committed,Jamaah,Mosque,
April,5,Ashar,Abandoned,,,
April,5,Maghrib,Abandoned,,,
April,5,Isya,Committed,Jamaah,Mosque,
April,6,Shubuh,Committed,Jamaah,Mosque,
April,6,Dzuhur,Committed,Alone,Home,
April,6,Ashar,Committed,Alone,Home,
April,6,Maghrib,Committed,Alone,Home,
April,6,Isya,Committed,Alone,Home,
April,7,Shubuh,Committed,Alone,Home,
April,7,Dzuhur,Committed,Alone,Mosque,
April,7,Ashar,Committed,Alone,Mosque,
April,7,Maghrib,Abandoned,,,
April,7,Isya,Abandoned,,,
April,8,Shubuh,Committed,Jamaah,Mosque,
April,8,Dzuhur,Abandoned,,,
April,8,Ashar,Committed,Alone,Mosque,
April,8,Maghrib,Committed,Alone,Home,
April,8,Isya,Committed,Alone,Home,
April,9,Shubuh,Abandoned,,,
April,9,Dzuhur,Committed,Alone,Home,
April,9,Ashar,Committed,Jamaah,Mosque,
April,9,Maghrib,Committed,Alone,Home,
April,9,Isya,Committed,Jamaah,Mosque,
April,10,Shubuh,Abandoned,,,
April,10,Dzuhur,Committed,Jamaah,Mosque,
April,10,Ashar,Abandoned,,,
April,10,Maghrib,Abandoned,,,
April,10,Isya,Committed,Alone,Home,
April,11,Shubuh,Abandoned,,,Rain
April,11,Dzuhur,Abandoned,,,
April,11,Ashar,Committed,Alone,Home,
April,11,Maghrib,Committed,Alone,Home,
April,11,Isya,Abandoned,,,
April,12,Shubuh,Abandoned,,,Rain
April,12,Dzuhur,Committed,Jamaah,Mosque,
April,12,Ashar,Committed,Jamaah,Mosque,
April,12,Maghrib,Committed,Jamaah,Mosque,
April,12,Isya,Committed,Jamaah,Mosque,
April,13,Shubuh,Abandoned,,,
April,13,Dzuhur,Committed,Alone,Home,
April,13,Ashar,Committed,Jamaah,Mosque,
April,13,Maghrib,Abandoned,,,
April,13,Isya,Committed,Jamaah,Mosque,
April,14,Shubuh,Committed,Alone,Home,
April,14,Dzuhur,Committed,Alone,Home,
April,14,Ashar,Committed,Jamaah,Mosque,
April,14,Maghrib,Committed,Alone,Home,
April,14,Isya,Committed,Jamaah,Mosque,
April,15,Shubuh,Abandoned,,,
April,15,Dzuhur,Committed,Alone,Home,
April,15,Ashar,Committed,Jamaah,Mosque,
April,15,Maghrib,Committed,Alone,Home,
April,15,Isya,Committed,Jamaah,Mosque,
April,16,Shubuh,Abandoned,,,
April,16,Dzuhur,Abandoned,,,
April,16,Ashar,Committed,Alone,Home,
April,16,Maghrib,Committed,Jamaah,Mosque,
April,16,Isya,Committed,Jamaah,Mosque,
April,17,Shubuh,Committed,Alone,Home,
April,17,Dzuhur,Abandoned,,,
April,17,Ashar,Committed,Alone,Mosque,
April,17,Maghrib,Committed,Jamaah,Mosque,
April,17,Isya,Committed,Jamaah,Mosque,
April,18,Shubuh,Abandoned,,,
April,18,Dzuhur,Committed,Jamaah,Mosque,
April,18,Ashar,Abandoned,,,
April,18,Maghrib,Committed,Jamaah,Mosque,
April,18,Isya,Committed,Jamaah,Mosque,
April,19,Shubuh,Committed,Alone,Home,
April,19,Dzuhur,Committed,Alone,Home,
April,19,Ashar,Committed,Jamaah,Mosque,
April,19,Maghrib,Committed,Alone,Home,
April,19,Isya,Committed,Jamaah,Mosque,
April,20,Shubuh,Committed,Alone,Home,
April,20,Dzuhur,Committed,Alone,Home,
April,20,Ashar,Committed,Jamaah,Mosque,
April,20,Maghrib,Committed,Alone,Home,
April,20,Isya,Committed,Jamaah,Mosque,
April,21,Shubuh,Abandoned,,,
April,21,Dzuhur,Abandoned,,,
April,21,Ashar,Committed,Alone,Home,
April,21,Maghrib,Committed,Jamaah,Mosque,
April,21,Isya,Committed,Jamaah,Mosque,
April,22,Shubuh,Abandoned,,,
April,22,Dzuhur,Committed,Alone,Mosque,
April,22,Ashar,Committed,Jamaah,Mosque,
April,22,Maghrib,Abandoned,,,
April,22,Isya,Committed,Jamaah,Mosque,
April,23,Shubuh,Abandoned,,,
April,23,Dzuhur,Abandoned,,,
April,23,Ashar,Committed,Alone,Mosque,
April,23,Maghrib,Committed,Alone,Home,
April,23,Isya,Committed,Jamaah,Mosque,
April,24,Shubuh,Abandoned,,,
April,24,Dzuhur,Abandoned,,,
April,24,Ashar,Committed,Jamaah,Mosque,
April,24,Maghrib,Abandoned,,,
April,24,Isya,Committed,Jamaah,Mosque,
April,25,Shubuh,Committed,Jamaah,Mosque,
April,25,Dzuhur,Committed,Alone,Home,
April,25,Ashar,Abandoned,,,
April,25,Maghrib,Abandoned,,,
April,25,Isya,Committed,Alone,Home,
April,26,Shubuh,Abandoned,,,
April,26,Dzuhur,Abandoned,,,
April,26,Ashar,Committed,Alone,Home,
April,26,Maghrib,Committed,Alone,Home,
April,26,Isya,Committed,Alone,Home,
April,27,Shubuh,Abandoned,,,
April,27,Dzuhur,Abandoned,,,
April,27,Ashar,Committed,Alone,Home,
April,27,Maghrib,Committed,Alone,Home,
April,27,Isya,Committed,Alone,Home,
April,28,Shubuh,Abandoned,,,
April,28,Dzuhur,Committed,Jamaah,Mosque,
April,28,Ashar,Committed,Jamaah,Mosque,
April,28,Maghrib,Committed,Alone,Home,
April,28,Isya,Committed,Alone,Home,
April,29,Shubuh,Abandoned,,,
April,29,Dzuhur,Abandoned,,,
April,29,Ashar,Committed,Alone,Home,
April,29,Maghrib,Committed,Alone,Home,
April,29,Isya,Committed,Jamaah,Mosque,
April,30,Shubuh,Abandoned,,,
April,30,Dzuhur,Committed,Alone,Home,
April,30,Ashar,Committed,Jamaah,Mosque,
April,30,Maghrib,Abandoned,,,
April,30,Isya,Committed,Alone,Home,
April,,,,,,
April,,,,,,
April,,,,,,
April,,,,,,
April,,,,,,
Month,Date,Shalat,Commitment,Person,Place
May,1,Shubuh,Abandoned,,
May,1,Dzuhur,Committed,Jamaah,Mosque
May,1,Ashar,Committed,Jamaah,Mosque
May,1,Maghrib,Abandoned,,
May,1,Isya,Committed,Alone,Home
May,2,Shubuh,Abandoned,,
May,2,Dzuhur,Committed,Jamaah,Mosque
May,2,Ashar,Abandoned,,
May,2,Maghrib,Committed,Alone,Home
May,2,Isya,Committed,Jamaah,Mosque
May,3,Shubuh,Abandoned,,
May,3,Dzuhur,Committed,Jamaah,Mosque
May,3,Ashar,Committed,Alone,Home
May,3,Maghrib,Committed,Alone,Home
May,3,Isya,Abandoned,,
May,4,Shubuh,Abandoned,,
May,4,Dzuhur,Committed,Alone,Home
May,4,Ashar,Committed,Jamaah,Mosque
May,4,Maghrib,Committed,Alone,Home
May,4,Isya,Committed,Jamaah,Mosque
May,5,Shubuh,Abandoned,,
May,5,Dzuhur,Committed,Alone,Mosque
May,5,Ashar,Committed,Jamaah,Mosque
May,5,Maghrib,Committed,Alone,Home
May,5,Isya,Committed,Jamaah,Mosque
May,6,Shubuh,Abandoned,,
May,6,Dzuhur,Abandoned,,
May,6,Ashar,Committed,Alone,Home
May,6,Maghrib,Committed,Alone,Home
May,6,Isya,Committed,Alone,Home
May,7,Shubuh,Abandoned,,
May,7,Dzuhur,Abandoned,,
May,7,Ashar,Committed,Alone,Home
May,7,Maghrib,Committed,Jamaah,Mosque
May,7,Isya,Committed,Alone,Home
May,8,Shubuh,Abandoned,,
May,8,Dzuhur,Committed,Jamaah,Mosque
May,8,Ashar,Abandoned,,
May,8,Maghrib,Abandoned,,
May,8,Isya,Committed,Jamaah,Mosque
